,zip_code,latitude,longitude
295,60542,41.807369,-88.33518199999997
296,60543,41.631012,-88.42047600000002
297,60544,41.632457,-88.169698
298,60545,41.628567,-88.513814
299,60546,41.811929,-87.68732
300,60548,41.702091,-88.688906
301,60549,41.48974000000001,-88.752495
302,60550,41.746774,-88.836821
303,60551,41.521219,-88.710974
304,60552,41.860645,-88.783041
305,60553,41.796742,-89.086129
306,60554,41.776787,-88.451655
307,60555,41.805422,-88.17155100000002
308,60556,41.755215,-88.778554
309,60557,41.44088,-88.77032700000002
310,60558,41.811929,-87.68732
311,60559,41.799876,-87.970713
312,60560,41.601679,-88.437533
313,60561,41.743437,-87.98046
314,60563,41.782455,-88.149884
315,60564,41.681479,-88.201424
316,60565,41.737929,-88.112714
317,60566,41.839679,-88.088716
318,60567,41.839679,-88.088716
319,60568,41.935616,-88.43238000000002
320,60570,41.839679,-88.088716
321,60572,41.839679,-88.088716
322,60597,41.839679,-88.088716
323,60598,41.839679,-88.088716
324,60599,41.839679,-88.088716
325,60601,41.811929,-87.68732
326,60602,41.811929,-87.68732
327,60603,42.055179,-87.72596
328,60604,41.811929,-87.68732
329,60605,41.811929,-87.68732
330,60606,41.811929,-87.68732
331,60607,41.928881,-87.81381
332,60608,41.811929,-87.68732
333,60609,41.811929,-87.68732
334,60610,41.811929,-87.68732
335,60611,41.811929,-87.68732
336,60612,41.811929,-87.68732
337,60613,41.811929,-87.68732
338,60614,41.811929,-87.68732
339,60615,41.811929,-87.68732
340,60616,41.811929,-87.68732
341,60617,41.811929,-87.68732
342,60618,41.811929,-87.68732
343,60619,41.811929,-87.68732
344,60620,41.811929,-87.68732
345,60621,41.811929,-87.68732
346,60622,41.811929,-87.68732
347,60623,41.811929,-87.68732
348,60624,41.811929,-87.68732
349,60625,41.811929,-87.68732
350,60626,41.811929,-87.68732
351,60628,41.811929,-87.68732
352,60629,41.811929,-87.68732
353,60630,41.811929,-87.68732
354,60631,42.00583,-87.808611
355,60632,41.811929,-87.68732
356,60633,41.811929,-87.68732
357,60634,41.933355,-87.81630899999998
358,60636,41.811929,-87.68732
